model,n_mm,n_ds,n_default_before,n_default_after,mb_total,mb_ds,pct_mb_ds,step_ms_before,step_ms_after,sps_before,sps_after,layers
bge_m3_encode,146,0,146,146,1218.449408,0,0.0,,,,,
google_gemma_1_1_2b_it,91,0,1,1,2662.72768,0,0.0,20.451392541284402,20.096843954128442,38.403615992871806,39.10358596836512,18
janus_pro_1b,2,0,2,2,16.842752,0,0.0,,,,,
llama_3_1_8b_instruct,161,160,0,0,6094.651392,5536.48128,90.84164005290494,34.60685824074074,,21.320108525564567,,32
llama_3_2_1b_instruct,81,80,0,0,1312.980992,1033.895936,78.74416631310987,10.361780620370368,10.39118324074074,63.99754899486046,65.21152247541924,16
llama_3_2_3b_instruct,141,140,0,0,3413.36064,2994.733056,87.73561811505509,27.87936228703704,26.887451935185187,30.243732643170393,31.245524168242955,28
microsoft_phi_1,73,0,0,0,1394.868224,0,0.0,44.05100283486239,44.330660385321096,20.24590989155903,20.124581415178447,24
microsoft_phi_1_5,73,0,0,0,1394.868224,0,0.0,44.495466422018346,43.98251204587155,20.07796514069606,20.273650658682108,24
microsoft_phi_2,97,0,0,0,2813.1328,0,0.0,113.62137543119266,113.83726459633027,7.941445035480603,7.972649645065762,32
ministral_8b,181,180,0,0,7950.303232,7379.877888,92.82511210762331,,,,,
mistral_7b,161,161,0,0,7558.135808,7558.135808,100.0,40.93350077777778,,19.374176874320277,,32
playground_v2_5,192,0,192,192,2517.843968,0,0.0,,,,,
qwen_2_5_0_5b_instruct,121,24,0,0,524.833792,111.132672,21.174831669375436,10.884453633027524,10.632875064220183,68.53176906222775,70.12225389771218,24
qwen_2_5_1_5b_instruct,141,112,141,29,1640.042496,1298.4975359999999,79.1746274359954,23.937437073394495,18.438955293577983,35.49865471458201,43.8515465529553,28
qwen_2_5_3b_instruct,181,144,0,0,3278.5530879999997,2747.400192,83.7991674454167,27.3698656146789,27.0638912293578,29.802684365169593,30.38954640314673,36
qwen_2_5_7b_instruct,141,112,141,29,7512.178688,6441.795584,85.75136257461719,56.25583167889908,,15.89193574078042,,28
qwen_3_0_6b,141,140,0,0,633.233408,467.92704000000003,73.89487574224763,10.713849834862387,9.411479577981652,48.87778370436704,51.55191155151178,28
qwen_3_1_7b,141,140,0,0,1827.979264,1497.366528,81.91375895169892,21.930067807339455,21.756865412844036,35.68069086100617,36.21614799851883,28
qwen_3_4b,181,180,0,0,4273.664,3860.39808,90.32993890020367,36.72767842201835,34.50695359633027,22.287315600742968,23.550843046991485,36
qwen_3_8b,181,180,0,0,8041.10336,7379.877888,91.7769310703152,,,,,
sdxl_lightning,192,0,192,192,2517.843968,0,0.0,,,,,
tiiuae_falcon3_1b_base,91,90,0,0,1488.453632,1203.24096,80.83832335329342,13.04447337614679,12.406281376146788,53.19207362570233,54.87364881421876,18
tiiuae_falcon3_3b_base,111,110,0,0,3001.417728,2573.59872,85.74610244988864,20.54372,20.141571816513757,35.63655886203298,36.52075783932426,22
tiiuae_falcon3_7b_base,141,140,0,0,7493.517312,7065.698304,94.29081177520071,44.06961844036697,,18.446421654595405,,28
vllm_falcon3_1b_base,72,0,18,18,1203.24096,0,0.0,18.302941399659694,17.60618551738194,1192.847289181935,1218.588877267605,-1
vllm_llama_3_1_8b,128,0,64,64,7415.529472,0,0.0,48.362163582455935,47.6264209309037,396.7135421546371,400.1293688578629,-1
vllm_llama_3_2_1b_instruct,64,0,16,16,1033.895936,0,0.0,18.43933359329664,17.981757714018762,1329.9919371388833,1361.5317620661756,-1
vllm_ministral_8b,144,0,72,72,7379.877888,0,0.0,,,,,
vllm_mistral_7b_instruct,128,0,64,64,7415.529472,0,0.0,43.572902711192995,42.06947667672384,420.72464743453526,429.13900259551355,-1
vllm_phi_1,96,0,48,48,1283.457024,0,0.0,25.31068577809492,25.36804363210519,876.0025182300656,874.4459086628624,-1
vllm_phi_1_5,96,0,48,48,1283.457024,0,0.0,24.779164872597903,25.293837132007216,889.3401411142837,876.7638747523315,-1
vllm_phi_2,128,0,64,64,2673.8687999999997,0,0.0,37.05699821460127,35.80578209636899,485.8959257327001,495.28359143186736,-1
vllm_qwen2_5_0_5b_instruct,96,0,24,24,380.19072,0,0.0,16.81013169582002,16.66304623254941,1528.8011114163317,1542.5827391614102,-1
vllm_qwen2_5_1_5b_instruct,112,0,28,28,1392.082944,0,0.0,27.625529143343947,26.737383406465856,824.5337567964435,849.9789754485813,-1
vllm_qwen2_5_3b_instruct,144,0,36,36,2947.940352,0,0.0,27.72901773382078,26.138382333946147,685.2972889509141,713.1071469505922,-1
vllm_qwen2_5_7b_instruct,112,0,28,28,6933.118976000001,0,0.0,35.250897265671355,35.28648745019122,438.72216682725616,439.2203353121534,-1
vllm_qwen3_0_6b,112,0,0,0,467.92704000000003,0,0.0,18.442616375978105,17.936424928068714,1180.2164659801892,1247.2699415949335,-1
vllm_qwen3_1_7b,112,0,28,28,1497.366528,0,0.0,21.272575581471237,22.404533625896356,934.6740006514165,921.3098423217997,-1
vllm_qwen3_4b,144,0,72,72,3860.39808,0,0.0,28.069836982467677,27.93861861885359,544.9063209503296,552.6135898005654,-1
vllm_qwen3_8b,144,0,72,72,7379.877888,0,0.0,52.88395115764745,53.57008703556078,363.6584578228308,364.192456111048,-1
