model,baseline,role,K,N,n_ds,n_nods,n_nods_activated,act,act_cost_us,fair,biased,cores_ds,cfg_ds,cfg_nods,w_before,w_after,kpc,pcn,weight_MB,ds_us,nods_us,ds_gbs,nods_gbs,penalty,total_ds_us,total_nods_us,delta_us,delta_like_us
qwen_3_1_7b,clean,lm_head,2048,151936,1,1,0,,,1,0,52,1D mcast,1D mcast,2,2,2,75,330.613,1784.016,1777.52,185.3,186.0,1.0037,1784.02,1777.52,6.5,6.5
qwen_3_1_7b,clean,down,6144,2048,28,28,0,,,1,0,64,DRAM-sharded,1D mcast,8,24,24,1,13.369,67.434,63.671,198.3,210.0,1.0591,1888.15,1782.8,105.35,105.35
qwen_3_4b,clean,qkv,2560,6144,36,36,0,,,1,0,64,DRAM-sharded,1D mcast,2,10,10,3,16.712,74.935,79.325,223.0,210.7,0.9447,2697.66,2855.72,-158.06,-158.06
qwen_3_4b,clean,gate/up,2560,9728,72,72,36,SILU,7.5,1,0,64,DRAM-sharded,1D mcast,2,10,10,5,26.46,119.856,126.326,220.8,209.5,0.9488,8629.63,9365.58,-735.95,-465.87
qwen_3_4b,clean,lm_head,2560,151936,1,1,0,,,1,0,44,1D mcast,1D mcast,2,2,2,75,413.266,2214.441,2239.645,186.6,184.5,0.9887,2214.44,2239.64,-25.2,-25.2
qwen_3_4b,clean,o_proj,4096,2560,36,36,0,,,1,0,64,DRAM-sharded,1D mcast,8,16,16,2,11.141,53.896,56.156,206.7,198.4,0.9598,1940.27,2021.6,-81.33,-81.33
qwen_3_4b,clean,down,9728,2560,36,36,0,,,1,0,64,DRAM-sharded,1D mcast,8,38,38,2,26.46,119.476,127.244,221.5,207.9,0.939,4301.14,4580.78,-279.65,-279.65
qwen_3_8b,clean,o_proj,4096,4096,36,36,0,,,1,0,64,DRAM-sharded,1D mcast,8,16,16,2,17.826,80.501,88.397,221.4,201.7,0.9107,2898.03,3182.3,-284.27,-284.27
qwen_3_8b,clean,qkv,4096,6144,36,36,0,,,1,0,60,DRAM-sharded,1D mcast,2,16,16,3,26.739,115.207,125.474,232.1,213.1,0.9182,4147.47,4517.06,-369.6,-369.6
qwen_3_8b,clean,gate/up,4096,12288,72,72,36,SILU,9.83,1,0,64,DRAM-sharded,1D mcast,2,8,16,6,53.477,218.077,252.661,245.2,211.7,0.8631,15701.57,18545.34,-2843.77,-2490.03
qwen_3_8b,clean,lm_head,4096,151936,1,1,0,,,1,0,44,1D mcast,1D mcast,2,2,2,75,661.225,3548.037,3526.09,186.4,187.5,1.0062,3548.04,3526.09,21.95,21.95
qwen_3_8b,clean,down,12288,4096,36,36,0,,,1,0,64,DRAM-sharded,1D mcast,8,24,48,2,53.477,221.323,258.202,241.6,207.1,0.8572,7967.65,9295.27,-1327.63,-1327.63
