model,graph,M_before,M_after,role,K,N,n,weight_MB_each,weight_MB_total,dtype,biased,kind_before,kind_after,kind_mix_before,kind_mix_after,w_before,w_after,kpc_after,pcn_after,in0_cores_after,w_space_before,w_space_after,w_memlayout_before,w_memlayout_after,best_w_le8,moved_to_ds,w_collapsed
bge_m3_encode,g1,2048,2048,qkv,64,512,24,0.131072,3.145728,f32,0,default,default,defaultx24,defaultx24,,,2,,1,dram,dram,interleaved,interleaved,2,0,0
bge_m3_encode,g1,2048,2048,o_proj,512,64,24,0.131072,3.145728,f32,0,default,default,defaultx24,defaultx24,,,16,,1,dram,dram,interleaved,interleaved,8,0,0
bge_m3_encode,g1,2048,2048,lm_head,1024,1,1,0.004096,0.004096,f32,1,default,default,defaultx1,defaultx1,,,32,,1,dram,dram,interleaved,interleaved,8,0,0
bge_m3_encode,g1,2048,2048,o_proj,1024,1024,25,4.194304,104.8576,f32,1,default,default,defaultx25,defaultx25,,,32,,1,dram,dram,interleaved,interleaved,8,0,0
bge_m3_encode,g1,2048,2048,other,1024,3072,24,12.582912,301.989888,f32,1,default,default,defaultx24,defaultx24,,,32,,1,dram,dram,interleaved,interleaved,8,0,0
bge_m3_encode,g1,2048,2048,other,1024,4096,24,16.777216,402.653184,f32,1,default,default,defaultx24,defaultx24,,,32,,1,dram,dram,interleaved,interleaved,8,0,0
bge_m3_encode,g1,2048,2048,down,4096,1024,24,16.777216,402.653184,f32,1,default,default,defaultx24,defaultx24,,,128,,1,dram,dram,interleaved,interleaved,8,0,0
google_gemma_1_1_2b_it,g1,544,544,o_proj,2048,2048,18,4.456448,80.216064,bfp_bf8,0,mcast1d,mcast1d,mcast1dx18,mcast1dx18,8,8,17,1,8,dram,dram,interleaved,interleaved,1,0,0
google_gemma_1_1_2b_it,g1,544,544,qkv,2048,2560,18,5.57056,100.27008,bfp_bf8,0,mcast2d,mcast2d,mcast2dx18,mcast2dx18,2,2,8,10,8,dram,dram,interleaved,interleaved,8,0,0
google_gemma_1_1_2b_it,g1,544,544,gate/up,2048,16384,36,35.651584,1283.457024,bfp_bf8,0,mcast1d,mcast1d,mcast1dx36,mcast1dx36,2,2,2,8,32,dram,dram,interleaved,interleaved,2,0,0
google_gemma_1_1_2b_it,g1,544,544,lm_head,2048,256000,1,557.056,557.056,bfp_bf8,0,default,default,defaultx1,defaultx1,,,1,,64,dram,dram,interleaved,interleaved,1,0,0
google_gemma_1_1_2b_it,g1,544,544,down,16384,2048,18,35.651584,641.728512,bfp_bf8,0,mcast1d,mcast1d,mcast1dx18,mcast1dx18,8,8,512,1,1,dram,dram,interleaved,interleaved,8,0,0
janus_pro_1b,g1,2,2,other,8,2048,1,0.065536,0.065536,f32,1,default,default,defaultx1,defaultx1,,,1,,1,dram,dram,interleaved,interleaved,1,0,0
janus_pro_1b,g1,2,2,other,2048,2048,1,16.777216,16.777216,f32,1,default,default,defaultx1,defaultx1,,,64,,1,dram,dram,interleaved,interleaved,8,0,0
