model,graph,M_before,M_after,role,K,N,n,weight_MB_each,weight_MB_total,dtype,biased,kind_before,kind_after,kind_mix_before,kind_mix_after,w_before,w_after,kpc_after,pcn_after,in0_cores_after,w_space_before,w_space_after,w_memlayout_before,w_memlayout_after,best_w_le8,moved_to_ds,w_collapsed
llama_3_1_8b_instruct,g1,32,32,o_proj,4096,4096,32,17.825792,570.425344,bfp_bf8,0,mcast1d,DS,mcast1dx32,DSx32,8,16,16,2,8,dram,dram,interleaved,width_sharded,8,1,0
llama_3_1_8b_instruct,g1,32,32,qkv,4096,6144,32,26.738688,855.638016,bfp_bf8,0,mcast1d,DS,mcast1dx32,DSx32,2,16,16,3,8,dram,dram,interleaved,width_sharded,8,1,0
llama_3_1_8b_instruct,g1,32,32,gate/up,4096,14336,64,33.030144,2113.929216,bfp_bf4,0,mcast1d,DS,mcast1dx64,DSx64,2,8,16,7,8,dram,dram,interleaved,width_sharded,8,1,0
llama_3_1_8b_instruct,g1,32,32,lm_head,4096,128256,1,558.170112,558.170112,bfp_bf8,0,mcast1d,mcast1d,mcast1dx1,mcast1dx1,2,2,2,63,64,dram,dram,interleaved,interleaved,2,0,0
llama_3_1_8b_instruct,g1,32,32,down,14336,4096,32,62.390272,1996.488704,bfp_bf8,0,mcast1d,DS,mcast1dx32,DSx32,8,14,56,2,8,dram,dram,interleaved,width_sharded,8,1,0
llama_3_2_1b_instruct,g1,32,32,o_proj,2048,2048,16,4.456448,71.303168,bfp_bf8,0,mcast1d,DS,mcast1dx16,DSx16,8,8,8,1,8,dram,dram,interleaved,width_sharded,8,1,0
llama_3_2_1b_instruct,g1,32,32,qkv,2048,3072,16,6.684672,106.954752,bfp_bf8,0,mcast1d,DS,mcast1dx16,DSx16,8,8,8,2,8,dram,dram,interleaved,width_sharded,8,1,0
llama_3_2_1b_instruct,g1,32,32,gate/up,2048,8192,32,17.825792,570.425344,bfp_bf8,0,mcast1d,DS,mcast1dx32,DSx32,2,8,8,4,8,dram,dram,interleaved,width_sharded,8,1,0
llama_3_2_1b_instruct,g1,32,32,lm_head,2048,128256,1,279.085056,279.085056,bfp_bf8,0,mcast1d,mcast1d,mcast1dx1,mcast1dx1,2,2,2,63,32,dram,dram,interleaved,interleaved,2,0,0
llama_3_2_1b_instruct,g1,32,32,down,8192,2048,16,17.825792,285.212672,bfp_bf8,0,mcast1d,DS,mcast1dx16,DSx16,8,32,32,1,8,dram,dram,interleaved,width_sharded,8,1,0
llama_3_2_3b_instruct,g1,32,32,o_proj,3072,3072,28,10.027008,280.756224,bfp_bf8,0,mcast1d,DS,mcast1dx28,DSx28,8,12,12,2,8,dram,dram,interleaved,width_sharded,6,1,0
llama_3_2_3b_instruct,g1,32,32,qkv,3072,5120,28,16.71168,467.92704,bfp_bf8,0,mcast1d,DS,mcast1dx28,DSx28,2,12,12,3,8,dram,dram,interleaved,width_sharded,6,1,0
llama_3_2_3b_instruct,g1,32,32,gate/up,3072,8192,56,26.738688,1497.366528,bfp_bf8,0,mcast1d,DS,mcast1dx56,DSx56,2,12,12,4,8,dram,dram,interleaved,width_sharded,6,1,0
llama_3_2_3b_instruct,g1,32,32,lm_head,3072,128256,1,418.627584,418.627584,bfp_bf8,0,mcast1d,mcast1d,mcast1dx1,mcast1dx1,2,2,2,63,48,dram,dram,interleaved,interleaved,2,0,0
llama_3_2_3b_instruct,g1,32,32,down,8192,3072,28,26.738688,748.683264,bfp_bf8,0,mcast1d,DS,mcast1dx28,DSx28,8,32,32,2,8,dram,dram,interleaved,width_sharded,8,1,0
microsoft_phi_1,g1,32,32,o_proj,2048,2048,24,4.456448,106.954752,bfp_bf8,1,mcast1d,mcast1d,mcast1dx24,mcast1dx24,8,8,1,1,8,dram,dram,interleaved,interleaved,1,0,0
microsoft_phi_1,g1,32,32,qkv,2048,14336,24,31.195136,748.683264,bfp_bf8,1,mcast1d,mcast1d,mcast1dx24,mcast1dx24,2,2,2,7,32,dram,dram,interleaved,interleaved,2,0,0
microsoft_phi_1,g1,32,32,lm_head,2048,51200,1,111.4112,111.4112,bfp_bf8,1,mcast1d,mcast1d,mcast1dx1,mcast1dx1,2,2,2,25,32,dram,dram,interleaved,interleaved,2,0,0
microsoft_phi_1,g1,32,32,down,8192,2048,24,17.825792,427.819008,bfp_bf8,1,mcast1d,mcast1d,mcast1dx24,mcast1dx24,8,8,8,1,32,dram,dram,interleaved,interleaved,8,0,0
microsoft_phi_1_5,g1,32,32,o_proj,2048,2048,24,4.456448,106.954752,bfp_bf8,1,mcast1d,mcast1d,mcast1dx24,mcast1dx24,8,8,1,1,8,dram,dram,interleaved,interleaved,1,0,0
microsoft_phi_1_5,g1,32,32,qkv,2048,14336,24,31.195136,748.683264,bfp_bf8,1,mcast1d,mcast1d,mcast1dx24,mcast1dx24,2,2,2,7,32,dram,dram,interleaved,interleaved,2,0,0
microsoft_phi_1_5,g1,32,32,lm_head,2048,51200,1,111.4112,111.4112,bfp_bf8,1,mcast1d,mcast1d,mcast1dx1,mcast1dx1,2,2,2,25,32,dram,dram,interleaved,interleaved,2,0,0
microsoft_phi_1_5,g1,32,32,down,8192,2048,24,17.825792,427.819008,bfp_bf8,1,mcast1d,mcast1d,mcast1dx24,mcast1dx24,8,8,8,1,32,dram,dram,interleaved,interleaved,8,0,0
microsoft_phi_2,g1,32,32,o_proj,2560,2560,32,6.9632,222.8224,bfp_bf8,1,mcast1d,mcast1d,mcast1dx32,mcast1dx32,8,8,2,2,8,dram,dram,interleaved,interleaved,2,0,0
microsoft_phi_2,g1,32,32,qkv,2560,17920,32,48.7424,1559.7568,bfp_bf8,1,mcast1d,mcast1d,mcast1dx32,mcast1dx32,2,2,2,9,40,dram,dram,interleaved,interleaved,2,0,0
microsoft_phi_2,g1,32,32,lm_head,2560,51200,1,139.264,139.264,bfp_bf8,1,mcast1d,mcast1d,mcast1dx1,mcast1dx1,2,2,2,25,40,dram,dram,interleaved,interleaved,2,0,0
microsoft_phi_2,g1,32,32,down,10240,2560,32,27.8528,891.2896,bfp_bf8,1,mcast1d,mcast1d,mcast1dx32,mcast1dx32,8,8,8,2,40,dram,dram,interleaved,interleaved,8,0,0
ministral_8b,g1,32,32,o_proj,4096,4096,36,17.825792,641.728512,bfp_bf8,0,mcast1d,DS,mcast1dx36,DSx36,8,16,16,2,8,dram,dram,interleaved,width_sharded,8,1,0
ministral_8b,g1,32,32,qkv,4096,6144,36,26.738688,962.592768,bfp_bf8,0,mcast1d,DS,mcast1dx36,DSx36,2,16,16,3,8,dram,dram,interleaved,width_sharded,8,1,0
ministral_8b,g1,32,32,gate/up,4096,12288,72,53.477376,3850.371072,bfp_bf8,0,mcast1d,DS,mcast1dx72,DSx72,2,8,16,6,8,dram,dram,interleaved,width_sharded,8,1,0
ministral_8b,g1,32,32,lm_head,4096,131072,1,570.425344,570.425344,bfp_bf8,0,mcast1d,mcast1d,mcast1dx1,mcast1dx1,2,2,2,64,64,dram,dram,interleaved,interleaved,2,0,0
ministral_8b,g1,32,32,down,12288,4096,36,53.477376,1925.185536,bfp_bf8,0,mcast1d,DS,mcast1dx36,DSx36,8,24,48,2,8,dram,dram,interleaved,width_sharded,8,1,0
mistral_7b,g1,32,32,o_proj,4096,4096,32,17.825792,570.425344,bfp_bf8,0,mcast1d,DS,mcast1dx32,DSx32,8,16,16,2,8,dram,dram,interleaved,width_sharded,8,1,0
mistral_7b,g1,32,32,qkv,4096,6144,32,26.738688,855.638016,bfp_bf8,0,mcast1d,DS,mcast1dx32,DSx32,2,16,16,3,8,dram,dram,interleaved,width_sharded,8,1,0
mistral_7b,g1,32,32,gate/up,4096,14336,64,62.390272,3992.977408,bfp_bf8,0,mcast1d,DS,mcast1dx64,DSx64,2,4,16,7,8,dram,dram,interleaved,width_sharded,8,1,0
mistral_7b,g1,32,32,lm_head,4096,32768,1,142.606336,142.606336,bfp_bf8,0,mcast1d,DS,mcast1dx1,DSx1,2,1,16,16,8,dram,dram,interleaved,width_sharded,8,1,1
mistral_7b,g1,32,32,down,14336,4096,32,62.390272,1996.488704,bfp_bf8,0,mcast1d,DS,mcast1dx32,DSx32,8,14,56,2,8,dram,dram,interleaved,width_sharded,8,1,0
playground_v2_5,g1,77,77,qkv,64,77,32,0.019712,0.630784,f32,0,default,default,defaultx32,defaultx32,,,2,,1,dram,dram,interleaved,interleaved,2,0,0
playground_v2_5,g1,77,77,o_proj,77,64,32,0.019712,0.630784,f32,0,default,default,defaultx32,defaultx32,,,3,,1,dram,dram,interleaved,interleaved,3,0,0
playground_v2_5,g1,77,77,o_proj,1280,1280,32,6.5536,209.7152,f32,1,default,default,defaultx32,defaultx32,,,40,,1,dram,dram,interleaved,interleaved,8,0,0
playground_v2_5,g1,77,77,other,1280,3840,32,19.6608,629.1456,f32,1,default,default,defaultx32,defaultx32,,,40,,1,dram,dram,interleaved,interleaved,8,0,0
playground_v2_5,g1,77,77,other,1280,5120,32,26.2144,838.8608,f32,1,default,default,defaultx32,defaultx32,,,160,,1,dram,dram,interleaved,interleaved,8,0,0
playground_v2_5,g1,77,77,down,5120,1280,32,26.2144,838.8608,f32,1,default,default,defaultx32,defaultx32,,,40,,1,dram,dram,interleaved,interleaved,8,0,0
qwen_2_5_0_5b_instruct,g1,32,32,o_proj,896,896,24,0.852992,20.471808,bfp_bf8,0,mcast1d,mcast1d,mcast1dx24,mcast1dx24,4,4,1,1,8,dram,dram,interleaved,interleaved,1,0,0
qwen_2_5_0_5b_instruct,g1,32,32,qkv,896,1152,24,1.096704,26.320896,bfp_bf8,1,mcast1d,mcast1d,mcast1dx24,mcast1dx24,4,4,4,1,7,dram,dram,interleaved,interleaved,4,0,0
qwen_2_5_0_5b_instruct,g1,32,32,gate/up,896,4864,48,4.630528,222.265344,bfp_bf8,0,mcast1d,mcast1d,mcast1dx48,mcast1dx48,2,2,4,3,7,dram,dram,interleaved,interleaved,4,0,0
qwen_2_5_0_5b_instruct,g1,32,32,lm_head,896,151936,1,144.643072,144.643072,bfp_bf8,0,mcast1d,mcast1d,mcast1dx1,mcast1dx1,2,2,4,75,7,dram,dram,interleaved,interleaved,4,0,0
qwen_2_5_0_5b_instruct,g1,32,32,down,4864,896,24,4.630528,111.132672,bfp_bf8,0,mcast1d,DS,mcast1dx24,DSx24,8,19,19,1,8,dram,dram,interleaved,width_sharded,1,1,0
qwen_2_5_1_5b_instruct,g1,32,32,o_proj,1536,1536,28,2.506752,70.189056,bfp_bf8,0,default,DS,defaultx28,DSx28,,6,6,1,8,dram,dram,interleaved,width_sharded,6,1,0
qwen_2_5_1_5b_instruct,g1,32,32,qkv,1536,2048,28,3.342336,93.585408,bfp_bf8,1,default,default,defaultx28,defaultx28,,,48,,1,dram,dram,interleaved,interleaved,8,0,0
qwen_2_5_1_5b_instruct,g1,32,32,gate/up,1536,8960,56,14.62272,818.87232,bfp_bf8,0,default,DS,defaultx56,DSx56,,6,6,5,8,dram,dram,interleaved,width_sharded,6,1,0
qwen_2_5_1_5b_instruct,g1,32,32,lm_head,1536,151936,1,247.959552,247.959552,bfp_bf8,0,default,default,defaultx1,defaultx1,,,1,,48,dram,dram,interleaved,interleaved,1,0,0
qwen_2_5_1_5b_instruct,g1,32,32,down,8960,1536,28,14.62272,409.43616,bfp_bf8,0,default,DS,defaultx28,DSx28,,35,35,1,8,dram,dram,interleaved,width_sharded,7,1,0
qwen_2_5_3b_instruct,g1,32,32,o_proj,2048,2048,36,4.456448,160.432128,bfp_bf8,0,mcast1d,DS,mcast1dx36,DSx36,8,8,8,1,8,dram,dram,interleaved,width_sharded,8,1,0
qwen_2_5_3b_instruct,g1,32,32,qkv,2048,2560,36,5.57056,200.54016,bfp_bf8,1,mcast1d,mcast1d,mcast1dx36,mcast1dx36,8,8,1,2,8,dram,dram,interleaved,interleaved,1,0,0
qwen_2_5_3b_instruct,g1,32,32,gate/up,2048,11008,72,23.953408,1724.645376,bfp_bf8,0,mcast1d,DS,mcast1dx72,DSx72,2,8,8,6,8,dram,dram,interleaved,width_sharded,8,1,0
qwen_2_5_3b_instruct,g1,32,32,lm_head,2048,151936,1,330.612736,330.612736,bfp_bf8,0,mcast1d,mcast1d,mcast1dx1,mcast1dx1,2,2,2,75,32,dram,dram,interleaved,interleaved,2,0,0
qwen_2_5_3b_instruct,g1,32,32,down,11008,2048,36,23.953408,862.322688,bfp_bf8,0,mcast1d,DS,mcast1dx36,DSx36,8,43,43,1,8,dram,dram,interleaved,width_sharded,1,1,0
qwen_2_5_7b_instruct,g1,32,32,o_proj,3584,3584,28,13.647872,382.140416,bfp_bf8,0,default,DS,defaultx28,DSx28,,14,14,2,8,dram,dram,interleaved,width_sharded,7,1,0
qwen_2_5_7b_instruct,g1,32,32,qkv,3584,4608,28,17.547264,491.323392,bfp_bf8,1,default,default,defaultx28,defaultx28,,,112,,1,dram,dram,interleaved,interleaved,8,0,0
qwen_2_5_7b_instruct,g1,32,32,gate/up,3584,18944,56,72.138752,4039.770112,bfp_bf8,0,default,DS,defaultx56,DSx56,,2,14,10,8,dram,dram,interleaved,width_sharded,7,1,0
qwen_2_5_7b_instruct,g1,32,32,lm_head,3584,152064,1,579.059712,579.059712,bfp_bf8,0,default,default,defaultx1,defaultx1,,,2,,56,dram,dram,interleaved,interleaved,2,0,0
qwen_2_5_7b_instruct,g1,32,32,down,18944,3584,28,72.138752,2019.885056,bfp_bf8,0,default,DS,defaultx28,DSx28,,2,74,2,8,dram,dram,interleaved,width_sharded,2,1,0
qwen_3_0_6b,g1,32,32,gate/up,1024,3072,56,3.342336,187.170816,bfp_bf8,0,mcast1d,DS,mcast1dx56,DSx56,8,4,4,2,8,dram,dram,interleaved,width_sharded,4,1,0
qwen_3_0_6b,g1,32,32,qkv,1024,4096,28,4.456448,124.780544,bfp_bf8,0,mcast1d,DS,mcast1dx28,DSx28,8,4,4,2,8,dram,dram,interleaved,width_sharded,4,1,0
qwen_3_0_6b,g1,32,32,lm_head,1024,151936,1,165.306368,165.306368,bfp_bf8,0,mcast1d,mcast1d,mcast1dx1,mcast1dx1,2,2,2,75,16,dram,dram,interleaved,interleaved,2,0,0
qwen_3_0_6b,g1,32,32,o_proj,2048,1024,28,2.228224,62.390272,bfp_bf8,0,mcast1d,DS,mcast1dx28,DSx28,8,8,8,1,8,dram,dram,interleaved,width_sharded,8,1,0
qwen_3_0_6b,g1,32,32,down,3072,1024,28,3.342336,93.585408,bfp_bf8,0,mcast1d,DS,mcast1dx28,DSx28,8,12,12,1,8,dram,dram,interleaved,width_sharded,6,1,0
qwen_3_1_7b,g1,32,32,o_proj,2048,2048,28,4.456448,124.780544,bfp_bf8,0,mcast1d,DS,mcast1dx28,DSx28,8,8,8,1,8,dram,dram,interleaved,width_sharded,8,1,0
qwen_3_1_7b,g1,32,32,qkv,2048,4096,28,8.912896,249.561088,bfp_bf8,0,mcast1d,DS,mcast1dx28,DSx28,8,8,8,2,8,dram,dram,interleaved,width_sharded,8,1,0
qwen_3_1_7b,g1,32,32,gate/up,2048,6144,56,13.369344,748.683264,bfp_bf8,0,mcast1d,DS,mcast1dx56,DSx56,2,8,8,3,8,dram,dram,interleaved,width_sharded,8,1,0
qwen_3_1_7b,g1,32,32,lm_head,2048,151936,1,330.612736,330.612736,bfp_bf8,0,mcast1d,mcast1d,mcast1dx1,mcast1dx1,2,2,2,75,32,dram,dram,interleaved,interleaved,2,0,0
qwen_3_1_7b,g1,32,32,down,6144,2048,28,13.369344,374.341632,bfp_bf8,0,mcast1d,DS,mcast1dx28,DSx28,8,24,24,1,8,dram,dram,interleaved,width_sharded,8,1,0
qwen_3_4b,g1,32,32,qkv,2560,6144,36,16.71168,601.62048,bfp_bf8,0,mcast1d,DS,mcast1dx36,DSx36,2,10,10,3,8,dram,dram,interleaved,width_sharded,5,1,0
qwen_3_4b,g1,32,32,gate/up,2560,9728,72,26.46016,1905.13152,bfp_bf8,0,mcast1d,DS,mcast1dx72,DSx72,2,10,10,5,8,dram,dram,interleaved,width_sharded,5,1,0
qwen_3_4b,g1,32,32,lm_head,2560,151936,1,413.26592,413.26592,bfp_bf8,0,mcast1d,mcast1d,mcast1dx1,mcast1dx1,2,2,2,75,40,dram,dram,interleaved,interleaved,2,0,0
qwen_3_4b,g1,32,32,o_proj,4096,2560,36,11.14112,401.08032,bfp_bf8,0,mcast1d,DS,mcast1dx36,DSx36,8,16,16,2,8,dram,dram,interleaved,width_sharded,8,1,0
qwen_3_4b,g1,32,32,down,9728,2560,36,26.46016,952.56576,bfp_bf8,0,mcast1d,DS,mcast1dx36,DSx36,8,38,38,2,8,dram,dram,interleaved,width_sharded,2,1,0
qwen_3_8b,g1,32,32,o_proj,4096,4096,36,17.825792,641.728512,bfp_bf8,0,mcast1d,DS,mcast1dx36,DSx36,8,16,16,2,8,dram,dram,interleaved,width_sharded,8,1,0
qwen_3_8b,g1,32,32,qkv,4096,6144,36,26.738688,962.592768,bfp_bf8,0,mcast1d,DS,mcast1dx36,DSx36,2,16,16,3,8,dram,dram,interleaved,width_sharded,8,1,0
qwen_3_8b,g1,32,32,gate/up,4096,12288,72,53.477376,3850.371072,bfp_bf8,0,mcast1d,DS,mcast1dx72,DSx72,2,8,16,6,8,dram,dram,interleaved,width_sharded,8,1,0
qwen_3_8b,g1,32,32,lm_head,4096,151936,1,661.225472,661.225472,bfp_bf8,0,mcast1d,mcast1d,mcast1dx1,mcast1dx1,2,2,2,75,64,dram,dram,interleaved,interleaved,2,0,0
qwen_3_8b,g1,32,32,down,12288,4096,36,53.477376,1925.185536,bfp_bf8,0,mcast1d,DS,mcast1dx36,DSx36,8,24,48,2,8,dram,dram,interleaved,width_sharded,8,1,0
sdxl_lightning,g1,77,77,qkv,64,77,32,0.019712,0.630784,f32,0,default,default,defaultx32,defaultx32,,,2,,1,dram,dram,interleaved,interleaved,2,0,0
sdxl_lightning,g1,77,77,o_proj,77,64,32,0.019712,0.630784,f32,0,default,default,defaultx32,defaultx32,,,3,,1,dram,dram,interleaved,interleaved,3,0,0
sdxl_lightning,g1,77,77,o_proj,1280,1280,32,6.5536,209.7152,f32,1,default,default,defaultx32,defaultx32,,,40,,1,dram,dram,interleaved,interleaved,8,0,0
sdxl_lightning,g1,77,77,other,1280,3840,32,19.6608,629.1456,f32,1,default,default,defaultx32,defaultx32,,,40,,1,dram,dram,interleaved,interleaved,8,0,0
sdxl_lightning,g1,77,77,other,1280,5120,32,26.2144,838.8608,f32,1,default,default,defaultx32,defaultx32,,,160,,1,dram,dram,interleaved,interleaved,8,0,0
sdxl_lightning,g1,77,77,down,5120,1280,32,26.2144,838.8608,f32,1,default,default,defaultx32,defaultx32,,,40,,1,dram,dram,interleaved,interleaved,8,0,0
tiiuae_falcon3_1b_base,g1,32,32,o_proj,2048,2048,18,4.456448,80.216064,bfp_bf8,0,mcast1d,DS,mcast1dx18,DSx18,8,8,8,1,8,dram,dram,interleaved,width_sharded,8,1,0
tiiuae_falcon3_1b_base,g1,32,32,qkv,2048,4096,18,8.912896,160.432128,bfp_bf8,0,mcast1d,DS,mcast1dx18,DSx18,8,8,8,2,8,dram,dram,interleaved,width_sharded,8,1,0
tiiuae_falcon3_1b_base,g1,32,32,gate/up,2048,8192,36,17.825792,641.728512,bfp_bf8,0,mcast1d,DS,mcast1dx36,DSx36,2,8,8,4,8,dram,dram,interleaved,width_sharded,8,1,0
tiiuae_falcon3_1b_base,g1,32,32,lm_head,2048,131072,1,285.212672,285.212672,bfp_bf8,0,mcast1d,mcast1d,mcast1dx1,mcast1dx1,2,2,2,64,32,dram,dram,interleaved,interleaved,2,0,0
tiiuae_falcon3_1b_base,g1,32,32,down,8192,2048,18,17.825792,320.864256,bfp_bf8,0,mcast1d,DS,mcast1dx18,DSx18,8,32,32,1,8,dram,dram,interleaved,width_sharded,8,1,0
tiiuae_falcon3_3b_base,g1,32,32,o_proj,3072,3072,22,10.027008,220.594176,bfp_bf8,0,mcast1d,DS,mcast1dx22,DSx22,8,12,12,2,8,dram,dram,interleaved,width_sharded,6,1,0
tiiuae_falcon3_3b_base,g1,32,32,qkv,3072,5120,22,16.71168,367.65696,bfp_bf8,0,mcast1d,DS,mcast1dx22,DSx22,2,12,12,3,8,dram,dram,interleaved,width_sharded,6,1,0
tiiuae_falcon3_3b_base,g1,32,32,gate/up,3072,9216,44,30.081024,1323.565056,bfp_bf8,0,mcast1d,DS,mcast1dx44,DSx44,2,12,12,5,8,dram,dram,interleaved,width_sharded,6,1,0
tiiuae_falcon3_3b_base,g1,32,32,lm_head,3072,131072,1,427.819008,427.819008,bfp_bf8,0,mcast1d,mcast1d,mcast1dx1,mcast1dx1,2,2,2,64,48,dram,dram,interleaved,interleaved,2,0,0
tiiuae_falcon3_3b_base,g1,32,32,down,9216,3072,22,30.081024,661.782528,bfp_bf8,0,mcast1d,DS,mcast1dx22,DSx22,8,36,36,2,8,dram,dram,interleaved,width_sharded,6,1,0
tiiuae_falcon3_7b_base,g1,32,32,o_proj,3072,3072,28,10.027008,280.756224,bfp_bf8,0,mcast1d,DS,mcast1dx28,DSx28,8,12,12,2,8,dram,dram,interleaved,width_sharded,6,1,0
tiiuae_falcon3_7b_base,g1,32,32,qkv,3072,5120,28,16.71168,467.92704,bfp_bf8,0,mcast1d,DS,mcast1dx28,DSx28,2,12,12,3,8,dram,dram,interleaved,width_sharded,6,1,0
tiiuae_falcon3_7b_base,g1,32,32,gate/up,3072,23040,56,75.20256,4211.34336,bfp_bf8,0,mcast1d,DS,mcast1dx56,DSx56,2,3,12,12,8,dram,dram,interleaved,width_sharded,6,1,0
tiiuae_falcon3_7b_base,g1,32,32,lm_head,3072,131072,1,427.819008,427.819008,bfp_bf8,0,mcast1d,mcast1d,mcast1dx1,mcast1dx1,2,2,2,64,48,dram,dram,interleaved,interleaved,2,0,0
tiiuae_falcon3_7b_base,g1,32,32,down,23040,3072,28,75.20256,2105.67168,bfp_bf8,0,mcast1d,DS,mcast1dx28,DSx28,8,30,90,2,8,dram,dram,interleaved,width_sharded,6,1,0
vllm_falcon3_1b_base,g1,4096,4096,o_proj,2048,2048,18,4.456448,80.216064,bfp_bf8,0,mcast2d,mcast2d,mcast2dx18,mcast2dx18,2,2,128,8,8,dram,dram,interleaved,interleaved,8,0,0
vllm_falcon3_1b_base,g1,4096,4096,qkv,2048,8192,18,17.825792,320.864256,bfp_bf8,0,mcast2d,mcast2d,mcast2dx18,mcast2dx18,2,2,256,8,1,dram,dram,interleaved,interleaved,8,0,0
vllm_falcon3_1b_base,g1,4096,4096,o_proj,4096,2048,18,8.912896,160.432128,bfp_bf8,0,mcast2d,mcast2d,mcast2dx18,mcast2dx18,2,2,64,16,1,dram,dram,interleaved,interleaved,8,0,0
vllm_falcon3_1b_base,g1,4096,4096,down,16384,2048,18,35.651584,641.728512,bfp_bf8,0,default,default,defaultx18,defaultx18,,,64,,1,dram,dram,interleaved,interleaved,8,0,0
vllm_llama_3_1_8b,g1,4096,4096,o_proj,4096,4096,32,17.825792,570.425344,bfp_bf8,0,mcast2d,mcast2d,mcast2dx32,mcast2dx32,2,2,128,16,1,dram,dram,interleaved,interleaved,8,0,0
vllm_llama_3_1_8b,g1,4096,4096,qkv,4096,14336,32,62.390272,1996.488704,bfp_bf8,0,mcast2d,mcast2d,mcast2dx32,mcast2dx32,2,2,448,16,1,dram,dram,interleaved,interleaved,8,0,0
vllm_llama_3_1_8b,g1,4096,4096,o_proj,6144,4096,32,26.738688,855.638016,bfp_bf8,0,default,default,defaultx32,defaultx32,,,2,,64,dram,dram,interleaved,interleaved,2,0,0
vllm_llama_3_1_8b,g1,4096,4096,down,28672,4096,32,124.780544,3992.977408,bfp_bf8,0,default,default,defaultx32,defaultx32,,,2,,64,dram,dram,interleaved,interleaved,2,0,0
vllm_llama_3_2_1b_instruct,g1,4096,4096,o_proj,2048,2048,16,4.456448,71.303168,bfp_bf8,0,mcast2d,mcast2d,mcast2dx16,mcast2dx16,2,2,128,8,8,dram,dram,interleaved,interleaved,8,0,0
vllm_llama_3_2_1b_instruct,g1,4096,4096,qkv,2048,8192,16,17.825792,285.212672,bfp_bf8,0,mcast2d,mcast2d,mcast2dx16,mcast2dx16,2,2,256,8,1,dram,dram,interleaved,interleaved,8,0,0
vllm_llama_3_2_1b_instruct,g1,4096,4096,o_proj,3072,2048,16,6.684672,106.954752,bfp_bf8,0,mcast2d,mcast2d,mcast2dx16,mcast2dx16,2,2,8,12,8,dram,dram,interleaved,interleaved,8,0,0
vllm_llama_3_2_1b_instruct,g1,4096,4096,down,16384,2048,16,35.651584,570.425344,bfp_bf8,0,default,default,defaultx16,defaultx16,,,64,,1,dram,dram,interleaved,interleaved,8,0,0
