config,K,N,in0_cores,in0_block_w,burst_tiles,burst_kb,median_us,gbs,pct_of_512
q3b_down_c8_w43,11008,2048,8,43,344,366,79.7,300.5,58.7
q3b_down_c43_w8,11008,2048,43,8,64,68,85.9,278.9,54.5
q3b_gateup_c8_w8,2048,11008,8,8,344,366,82.0,292.3,57.1
f7b_down_c24_w30,23040,3072,24,30,360,382,238.7,315.1,61.5
f7b_down_c8_w18,23040,3072,8,18,216,230,236.0,318.6,62.2
f7b_gateup_c8_w2,3072,23040,8,2,180,191,252.0,298.4,58.3
q8b_down_c8_w16,12288,4096,8,16,256,272,169.6,315.3,61.6
q8b_gateup_c8_w4,4096,12288,8,4,192,204,174.1,307.1,60.0
