config,K,N,dtype,kernel,cores,in0_block_w,us,gbs,pct_of_512,pcc
ds_bfp4_w8,4096,14336,bfp4,DS,8,8,105.2,314.1,61.3,0.993097
ds_bfp4_w4,4096,14336,bfp4,DS,8,4,109.2,302.4,59.1,0.99312
ds_bfp4_w2,4096,14336,bfp4,DS,8,2,120.1,275.1,53.7,0.993101
ds_bfp8_w4,4096,14336,bfp8,DS,8,4,129.9,480.3,93.8,0.999857
ds_bfp8_w2,4096,14336,bfp8,DS,8,2,129.2,483.1,94.4,0.999842
mcast_bfp4_c99_w2,4096,14336,bfp4,mcast,99,2,110.3,299.4,58.5,0.993101
mcast_bfp4_c99_w4,4096,14336,bfp4,mcast,99,4,112.1,294.7,57.6,0.99312
mcast_bfp4_c99_w8,4096,14336,bfp4,mcast,99,8,125.3,263.6,51.5,0.993097
mcast_bfp4_c99_w16,4096,14336,bfp4,mcast,99,16,130.5,253.1,49.4,0.993064
mcast_bfp4_c64_w8,4096,14336,bfp4,mcast,64,8,122.3,270.1,52.8,0.993097
mcast_bfp4_c32_w8,4096,14336,bfp4,mcast,32,8,120.6,273.8,53.5,0.993097
mcast_bfp4_c8_w8,4096,14336,bfp4,mcast,8,8,242.7,136.1,26.6,0.993097
mcast_bfp8_c99_w2,4096,14336,bfp8,mcast,99,2,161.1,387.2,75.6,0.999842
mcast_bfp8_c99_w8,4096,14336,bfp8,mcast,99,8,160.5,388.7,75.9,0.999848
mcast_bfp8_c99_w16,4096,14336,bfp8,mcast,99,16,161.6,386.0,75.4,0.999819
mcast_bfp8_c99_w32,4096,14336,bfp8,mcast,99,32,164.4,379.5,74.1,0.999706
mcast_bfp8_c64_w16,4096,14336,bfp8,mcast,64,16,163.4,381.8,74.6,0.999819
mcast_bfp8_c8_w4,4096,14336,bfp8,mcast,8,4,245.3,254.3,49.7,0.999857
