shape,w,ratio,burst_kb,hifi2_us,hifi2_gbs,hifi2_pct,lofi_us,lofi_gbs,lofi_pct,speedup
f7b_down,18,5,230,236.2,318.4,62.2,152.8,492.3,96.1,1.55
f7b_down,9,10,115,246.1,305.5,59.7,151.1,497.8,97.2,1.63
f7b_down,6,15,76,257.5,292.0,57.0,150.6,499.4,97.5,1.71
f7b_down,3,30,38,292.4,257.2,50.2,187.5,401.0,78.3,1.56
f7b_down,2,45,26,327.9,229.4,44.8,256.5,293.2,57.3,1.28
f7b_down,1,90,13,491.9,152.9,29.9,491.5,153.0,29.9,1.0
q3b_down,43,1,366,79.8,300.3,58.7,54.1,442.9,86.5,1.47
q3b_down,1,43,8,235.2,101.9,19.9,235.5,101.7,19.9,1.0
