shape,kernel,fidelity,us,gbs,pct_512,per_core_n,tile_macs_per_core,issue_floor_us,dram_floor_us,bound
f7b_down,ds_w18,hifi2,236.0,318.6,62.2,12,8640,204.8,146.9,issue
f7b_down,ds_w18,lofi,152.7,492.5,96.2,12,8640,102.4,146.9,dram
f7b_down,mcast_c32,hifi2,181.8,413.6,80.8,3,2160,51.2,146.9,dram
f7b_down,mcast_c32,lofi,192.0,391.7,76.5,3,2160,25.6,146.9,dram
f7b_down,mcast_c96,hifi2,192.7,390.4,76.2,1,720,17.1,146.9,dram
f7b_down,mcast_c96,lofi,191.1,393.5,76.9,1,720,8.5,146.9,dram
q3b_down,ds_w43,hifi2,79.6,301.0,58.8,8,2752,65.2,46.8,issue
q3b_down,ds_w43,lofi,54.1,442.5,86.4,8,2752,32.6,46.8,dram
q3b_down,mcast_c32,hifi2,62.3,384.2,75.0,2,688,16.3,46.8,dram
q3b_down,mcast_c32,lofi,66.1,362.2,70.7,2,688,8.2,46.8,dram
q3b_down,mcast_c64,hifi2,65.2,367.6,71.8,1,344,8.2,46.8,dram
q3b_down,mcast_c64,lofi,64.5,371.6,72.6,1,344,4.1,46.8,dram
q3b_oproj,ds_w8,hifi2,18.4,242.5,47.4,8,512,12.1,8.7,issue
q3b_oproj,ds_w8,lofi,12.5,357.6,69.8,8,512,6.1,8.7,dram
q3b_oproj,mcast_c32,hifi2,12.8,348.9,68.1,2,128,3.0,8.7,dram
q3b_oproj,mcast_c32,lofi,12.7,350.8,68.5,2,128,1.5,8.7,dram
q3b_oproj,mcast_c64,hifi2,13.0,341.5,66.7,1,64,1.5,8.7,dram
q3b_oproj,mcast_c64,lofi,12.8,348.7,68.1,1,64,0.8,8.7,dram
