op_id,replay,op_name,cores,duration_ns
7168,,CopyDeviceOperation,110,119942.96296296296
1024,,CopyDeviceOperation,110,119625.92592592593
10240,,CopyDeviceOperation,110,119488.88888888889
4096,,CopyDeviceOperation,110,119150.37037037036
13312,,CopyDeviceOperation,110,118000.0
9216,,MatmulDeviceOperation,80,82235.55555555556
6144,,MatmulDeviceOperation,80,82234.81481481482
3072,,MatmulDeviceOperation,80,82201.48148148147
12288,,MatmulDeviceOperation,80,82193.33333333333
15360,,MatmulDeviceOperation,80,82179.25925925926
11264,,InterleavedToShardedDeviceOperation,8,851.8518518518518
14336,,InterleavedToShardedDeviceOperation,8,844.4444444444445
2048,,InterleavedToShardedDeviceOperation,8,826.6666666666666
8192,,InterleavedToShardedDeviceOperation,8,823.7037037037037
5120,,InterleavedToShardedDeviceOperation,8,816.2962962962963
