call,M,K,N,K_w,cores,ns,cfg,gather_in0,act,in0_mem,in1_mem,in1_dtype,out_mem,bias,fidelity,pm_ideal_ns,fpu_util
3708928,32,2048,151936,2048,32,1797110.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,1123236.0,
2449408,32,2048,11008,2048,58,125580.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,81380.0,
2374656,32,2048,11008,2048,58,125037.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,81380.0,
2979840,32,2048,11008,2048,58,124792.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,81380.0,
3320832,32,2048,11008,2048,57,124752.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,81380.0,
3358720,32,2048,11008,2048,54,124728.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,81380.0,
3207168,32,2048,11008,2048,58,124482.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,81380.0,
3282944,32,2048,11008,2048,58,124386.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,81380.0,
3586048,32,2048,11008,2048,26,124327.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,81380.0,
2676736,32,2048,11008,2048,58,124177.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,81380.0,
3093504,32,2048,11008,2048,58,124135.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,81380.0,
2638848,32,2048,11008,2048,58,124090.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,81380.0,
3548160,32,2048,11008,2048,26,124044.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,81380.0,
2790400,32,2048,11008,2048,58,124027.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,81380.0,
3699712,32,2048,11008,2048,26,124004.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,81380.0,
3131392,32,2048,11008,2048,58,123997.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,81380.0,
3661824,32,2048,11008,2048,26,123960.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,81380.0,
2563072,32,2048,11008,2048,58,123776.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,81380.0,
2525184,32,2048,11008,2048,58,123762.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,81380.0,
2600960,32,2048,11008,2048,58,123597.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,81380.0,
2904064,32,2048,11008,2048,58,123514.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,81380.0,
2411520,32,2048,11008,2048,58,123368.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,81380.0,
2752512,32,2048,11008,2048,58,123365.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,81380.0,
2487296,32,2048,11008,2048,58,123301.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,81380.0,
3434496,32,2048,11008,2048,54,123241.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,81380.0,
2828288,32,2048,11008,2048,58,123133.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,81380.0,
3623936,32,2048,11008,2048,26,123116.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,81380.0,
3396608,32,2048,11008,2048,54,123056.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,81380.0,
3055616,32,2048,11008,2048,58,122838.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,81380.0,
3245056,32,2048,11008,2048,58,122688.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,81380.0,
3510272,32,2048,11008,2048,42,122595.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,81380.0,
3472384,32,2048,11008,2048,42,122542.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,81380.0,
2866176,32,2048,11008,2048,58,122530.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,81380.0,
2941952,32,2048,11008,2048,58,122443.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,81380.0,
3169280,32,2048,11008,2048,58,122439.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,81380.0,
2714624,32,2048,11008,2048,58,122359.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,81380.0,
3017728,32,2048,11008,2048,58,121889.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,81380.0,
2906112,32,2048,11008,2048,58,117141.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,81380.0,
3247104,32,2048,11008,2048,58,116711.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,81380.0,
2678784,32,2048,11008,2048,58,116198.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,81380.0,
2981888,32,2048,11008,2048,58,115541.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,81380.0,
3133440,32,2048,11008,2048,58,115484.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,81380.0,
3625984,32,2048,11008,2048,26,115345.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,81380.0,
3588096,32,2048,11008,2048,26,115342.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,81380.0,
2378752,32,11008,2048,11008,64,115306.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,81380.0,
3550208,32,2048,11008,2048,26,115227.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,81380.0,
2944000,32,2048,11008,2048,58,115084.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,81380.0,
3284992,32,2048,11008,2048,58,114925.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,81380.0,
2754560,32,2048,11008,2048,58,114868.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,81380.0,
3019776,32,2048,11008,2048,58,114793.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,81380.0,
2527232,32,2048,11008,2048,58,114580.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,81380.0,
2716672,32,2048,11008,2048,58,114536.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,81380.0,
3322880,32,2048,11008,2048,57,114476.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,81380.0,
3057664,32,2048,11008,2048,58,114439.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,81380.0,
3398656,32,2048,11008,2048,54,114419.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,81380.0,
3436544,32,2048,11008,2048,54,114370.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,81380.0,
2792448,32,2048,11008,2048,58,114338.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,81380.0,
2830336,32,2048,11008,2048,58,113948.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,81380.0,
3474432,32,2048,11008,2048,42,113905.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,81380.0,
2640896,32,2048,11008,2048,58,113896.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,81380.0,
3171328,32,2048,11008,2048,58,113838.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,81380.0,
2603008,32,2048,11008,2048,58,113749.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,81380.0,
3512320,32,2048,11008,2048,42,113588.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,81380.0,
2375680,32,2048,11008,2048,58,113501.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,81380.0,
2489344,32,2048,11008,2048,58,113429.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,81380.0,
2492416,32,11008,2048,11008,64,113411.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,81380.0,
2565120,32,2048,11008,2048,58,113325.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,81380.0,
2868224,32,2048,11008,2048,58,113194.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,81380.0,
3209216,32,2048,11008,2048,58,113149.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,81380.0,
2451456,32,2048,11008,2048,58,113106.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,81380.0,
2947072,32,11008,2048,11008,64,113089.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,81380.0,
