call,M,K,N,K_w,cores,ns,cfg,gather_in0,act,in0_mem,in1_mem,in1_dtype,out_mem,bias,fidelity,pm_ideal_ns,fpu_util
2217984,32,3072,128256,3072,63,2195872.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,1422261.0,
1344512,32,8192,3072,8192,48,140252.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,90843.0,
2180096,32,8192,3072,8192,48,139693.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,90843.0,
1448960,32,8192,3072,8192,48,137682.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,90843.0,
1692672,32,8192,3072,8192,48,137218.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,90843.0,
1831936,32,8192,3072,8192,48,137050.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,90843.0,
1901568,32,8192,3072,8192,48,136508.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,90843.0,
1762304,32,8192,3072,8192,48,136492.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,90843.0,
1483776,32,8192,3072,8192,48,136286.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,90843.0,
1657856,32,8192,3072,8192,48,136061.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,90843.0,
1727488,32,8192,3072,8192,48,136010.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,90843.0,
1414144,32,8192,3072,8192,48,135836.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,90843.0,
2110464,32,8192,3072,8192,48,135715.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,90843.0,
1379328,32,8192,3072,8192,48,135645.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,90843.0,
1866752,32,8192,3072,8192,48,135638.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,90843.0,
1971200,32,8192,3072,8192,48,135585.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,90843.0,
1518592,32,8192,3072,8192,48,135380.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,90843.0,
2006016,32,8192,3072,8192,48,135186.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,90843.0,
1797120,32,8192,3072,8192,48,134974.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,90843.0,
1553408,32,8192,3072,8192,48,134957.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,90843.0,
2075648,32,8192,3072,8192,48,134699.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,90843.0,
2040832,32,8192,3072,8192,48,134100.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,90843.0,
1623040,32,8192,3072,8192,48,133931.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,90843.0,
1936384,32,8192,3072,8192,48,133915.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,90843.0,
2145280,32,8192,3072,8192,48,133640.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,90843.0,
1274880,32,8192,3072,8192,48,133470.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,90843.0,
1588224,32,8192,3072,8192,48,133347.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,90843.0,
2214912,32,8192,3072,8192,47,133048.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,90843.0,
1309696,32,8192,3072,8192,48,132082.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,90843.0,
1584128,32,3072,8192,3072,64,131678.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,90843.0,
1444864,32,3072,8192,3072,64,131063.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,90843.0,
1758208,32,3072,8192,3072,64,130866.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,90843.0,
1340416,32,3072,8192,3072,64,130534.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,90843.0,
2106368,32,3072,8192,3072,64,130527.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,90843.0,
2176000,32,3072,8192,3072,64,130518.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,90843.0,
1967104,32,3072,8192,3072,64,130326.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,90843.0,
1375232,32,3072,8192,3072,64,130203.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,90843.0,
1827840,32,3072,8192,3072,64,129724.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,90843.0,
1305600,32,3072,8192,3072,64,129619.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,90843.0,
1270784,32,3072,8192,3072,64,129334.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,90843.0,
1688576,32,3072,8192,3072,64,129324.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,90843.0,
1723392,32,3072,8192,3072,64,129315.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,90843.0,
1549312,32,3072,8192,3072,64,129248.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,90843.0,
2141184,32,3072,8192,3072,64,129065.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,90843.0,
1793024,32,3072,8192,3072,64,128919.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,90843.0,
1862656,32,3072,8192,3072,64,128881.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,90843.0,
2071552,32,3072,8192,3072,64,128830.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,90843.0,
2001920,32,3072,8192,3072,64,128755.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,90843.0,
1932288,32,3072,8192,3072,64,128751.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,90843.0,
2210816,32,3072,8192,3072,63,128681.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,90843.0,
1479680,32,3072,8192,3072,64,128675.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,90843.0,
1410048,32,3072,8192,3072,64,128667.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,90843.0,
1514496,32,3072,8192,3072,64,128633.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,90843.0,
1897472,32,3072,8192,3072,64,128438.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,90843.0,
1618944,32,3072,8192,3072,64,128081.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,90843.0,
2036736,32,3072,8192,3072,64,128060.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,90843.0,
1653760,32,3072,8192,3072,64,128045.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,90843.0,
2072576,32,3072,8192,3072,64,124182.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,90843.0,
