call,M,K,N,K_w,cores,ns,cfg,gather_in0,act,in0_mem,in1_mem,in1_dtype,out_mem,bias,fidelity,pm_ideal_ns,fpu_util
1644544,32,2048,131072,2048,64,1527750.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,968992.0,
1596416,32,2048,8192,2048,64,90851.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,60562.0,
1557504,32,2048,8192,2048,64,90611.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,60562.0,
1440768,32,2048,8192,2048,64,89913.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,60562.0,
1518592,32,2048,8192,2048,64,89575.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,60562.0,
1362944,32,2048,8192,2048,64,89509.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,60562.0,
974848,32,2048,8192,2048,64,89420.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,60562.0,
1090560,32,2048,8192,2048,64,89175.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,60562.0,
1129472,32,2048,8192,2048,64,88959.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,60562.0,
1635328,32,2048,8192,2048,64,88811.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,60562.0,
1168384,32,2048,8192,2048,64,88795.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,60562.0,
1479680,32,2048,8192,2048,64,88748.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,60562.0,
1285120,32,2048,8192,2048,64,88708.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,60562.0,
1324032,32,2048,8192,2048,64,88581.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,60562.0,
1401856,32,2048,8192,2048,64,88507.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,60562.0,
1207296,32,2048,8192,2048,64,87956.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,60562.0,
1012736,32,2048,8192,2048,64,87873.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,60562.0,
1246208,32,2048,8192,2048,64,87745.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,60562.0,
1051648,32,2048,8192,2048,64,87727.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,60562.0,
1212416,32,8192,2048,8192,64,85406.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,60562.0,
1017856,32,8192,2048,8192,64,84818.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,60562.0,
