op_id,replay,op_name,cores,duration_ns
3712000,1,ArgMaxDeviceOperation,32,2753800.0
2262016,,ArgMaxDeviceOperation,64,2750752.0
2258944,,MatmulDeviceOperation,64,1805226.0
3708928,1,MatmulDeviceOperation,32,1797110.0
2260992,,UntilizeDeviceOperation,63,134127.0
3710976,1,UntilizeDeviceOperation,31,130030.0
2449408,1,MatmulDeviceOperation,58,125580.0
406528,,ConcatDeviceOperation,64,125189.0
2374656,1,MatmulDeviceOperation,58,125037.0
1870848,,MatmulDeviceOperation,58,124843.0
1605632,,MatmulDeviceOperation,58,124802.0
2979840,1,MatmulDeviceOperation,58,124792.0
3320832,1,MatmulDeviceOperation,57,124752.0
3358720,1,MatmulDeviceOperation,54,124728.0
1567744,,MatmulDeviceOperation,58,124569.0
2211840,,MatmulDeviceOperation,58,124527.0
2098176,,MatmulDeviceOperation,58,124488.0
3207168,1,MatmulDeviceOperation,58,124482.0
2136064,,MatmulDeviceOperation,58,124461.0
3282944,1,MatmulDeviceOperation,58,124386.0
3586048,1,MatmulDeviceOperation,26,124327.0
2676736,1,MatmulDeviceOperation,58,124177.0
1188864,,MatmulDeviceOperation,58,124150.0
3093504,1,MatmulDeviceOperation,58,124135.0
2638848,1,MatmulDeviceOperation,58,124090.0
924672,,MatmulDeviceOperation,58,124062.0
3548160,1,MatmulDeviceOperation,26,124044.0
2790400,1,MatmulDeviceOperation,58,124027.0
3699712,1,MatmulDeviceOperation,26,124004.0
3131392,1,MatmulDeviceOperation,58,123997.0
3661824,1,MatmulDeviceOperation,26,123960.0
1908736,,MatmulDeviceOperation,58,123954.0
2060288,,MatmulDeviceOperation,58,123950.0
1416192,,MatmulDeviceOperation,58,123887.0
1946624,,MatmulDeviceOperation,58,123871.0
1264640,,MatmulDeviceOperation,58,123818.0
2563072,1,MatmulDeviceOperation,58,123776.0
2525184,1,MatmulDeviceOperation,58,123762.0
1984512,,MatmulDeviceOperation,58,123701.0
2600960,1,MatmulDeviceOperation,58,123597.0
2904064,1,MatmulDeviceOperation,58,123514.0
1340416,,MatmulDeviceOperation,58,123447.0
2411520,1,MatmulDeviceOperation,58,123368.0
2752512,1,MatmulDeviceOperation,58,123365.0
1075200,,MatmulDeviceOperation,58,123357.0
961536,,MatmulDeviceOperation,58,123315.0
2487296,1,MatmulDeviceOperation,58,123301.0
3434496,1,MatmulDeviceOperation,54,123241.0
1226752,,MatmulDeviceOperation,58,123237.0
1795072,,MatmulDeviceOperation,58,123222.0
1757184,,MatmulDeviceOperation,58,123202.0
2828288,1,MatmulDeviceOperation,58,123133.0
1150976,,MatmulDeviceOperation,58,123124.0
3623936,1,MatmulDeviceOperation,26,123116.0
3396608,1,MatmulDeviceOperation,54,123056.0
1454080,,MatmulDeviceOperation,58,123055.0
2249728,,MatmulDeviceOperation,58,122903.0
3055616,1,MatmulDeviceOperation,58,122838.0
1378304,,MatmulDeviceOperation,58,122738.0
3245056,1,MatmulDeviceOperation,58,122688.0
1113088,,MatmulDeviceOperation,58,122656.0
2173952,,MatmulDeviceOperation,58,122654.0
3510272,1,MatmulDeviceOperation,42,122595.0
1719296,,MatmulDeviceOperation,58,122554.0
3472384,1,MatmulDeviceOperation,42,122542.0
2866176,1,MatmulDeviceOperation,58,122530.0
2941952,1,MatmulDeviceOperation,58,122443.0
3169280,1,MatmulDeviceOperation,58,122439.0
2714624,1,MatmulDeviceOperation,58,122359.0
1491968,,MatmulDeviceOperation,58,122333.0
1302528,,MatmulDeviceOperation,58,122322.0
999424,,MatmulDeviceOperation,58,122274.0
1529856,,MatmulDeviceOperation,58,122163.0
1832960,,MatmulDeviceOperation,58,122132.0
1643520,,MatmulDeviceOperation,58,121925.0
3017728,1,MatmulDeviceOperation,58,121889.0
2022400,,MatmulDeviceOperation,58,121826.0
1037312,,MatmulDeviceOperation,58,121754.0
1681408,,MatmulDeviceOperation,58,121178.0
185344,,ConcatDeviceOperation,64,119352.0
619520,,ConcatDeviceOperation,64,119166.0
498688,,ConcatDeviceOperation,64,118134.0
271360,,ConcatDeviceOperation,64,117954.0
642048,,ConcatDeviceOperation,64,117882.0
226304,,ConcatDeviceOperation,64,117315.0
545792,,ConcatDeviceOperation,64,117219.0
2906112,1,MatmulDeviceOperation,58,117141.0
1342464,,MatmulDeviceOperation,58,117063.0
203776,,ConcatDeviceOperation,64,117041.0
318464,,ConcatDeviceOperation,64,116952.0
697344,,ConcatDeviceOperation,64,116933.0
3247104,1,MatmulDeviceOperation,58,116711.0
693248,,ConcatDeviceOperation,64,116603.0
457728,,ConcatDeviceOperation,64,116503.0
480256,,ConcatDeviceOperation,64,116340.0
2678784,1,MatmulDeviceOperation,58,116198.0
2981888,1,MatmulDeviceOperation,58,115541.0
1228800,,MatmulDeviceOperation,58,115539.0
3133440,1,MatmulDeviceOperation,58,115484.0
230400,,ConcatDeviceOperation,64,115452.0
3625984,1,MatmulDeviceOperation,26,115345.0
3588096,1,MatmulDeviceOperation,26,115342.0
2378752,1,MatmulDeviceOperation,64,115306.0
3550208,1,MatmulDeviceOperation,26,115227.0
2944000,1,MatmulDeviceOperation,58,115084.0
3284992,1,MatmulDeviceOperation,58,114925.0
2754560,1,MatmulDeviceOperation,58,114868.0
3019776,1,MatmulDeviceOperation,58,114793.0
2527232,1,MatmulDeviceOperation,58,114580.0
2716672,1,MatmulDeviceOperation,58,114536.0
1039360,,MatmulDeviceOperation,58,114492.0
1531904,,MatmulDeviceOperation,58,114476.0
3322880,1,MatmulDeviceOperation,57,114476.0
3057664,1,MatmulDeviceOperation,58,114439.0
3398656,1,MatmulDeviceOperation,54,114419.0
3436544,1,MatmulDeviceOperation,54,114370.0
2792448,1,MatmulDeviceOperation,58,114338.0
582656,,ConcatDeviceOperation,64,114336.0
1797120,,MatmulDeviceOperation,58,114285.0
2062336,,MatmulDeviceOperation,58,114251.0
812032,,ConcatDeviceOperation,64,114148.0
615424,,ConcatDeviceOperation,64,114097.0
925696,,MatmulDeviceOperation,58,114005.0
1153024,,MatmulDeviceOperation,58,114005.0
1759232,,MatmulDeviceOperation,58,113969.0
2830336,1,MatmulDeviceOperation,58,113948.0
1077248,,MatmulDeviceOperation,58,113911.0
3474432,1,MatmulDeviceOperation,42,113905.0
2640896,1,MatmulDeviceOperation,58,113896.0
2213888,,MatmulDeviceOperation,58,113866.0
222208,,ConcatDeviceOperation,64,113844.0
3171328,1,MatmulDeviceOperation,58,113838.0
2603008,1,MatmulDeviceOperation,58,113749.0
