call,M,K,N,K_w,cores,ns,cfg,gather_in0,act,in0_mem,in1_mem,in1_dtype,out_mem,bias,fidelity,pm_ideal_ns,fpu_util
2736128,32,1024,151936,1024,48,886310.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,561618.0,
2358272,32,1024,4096,1024,64,24959.0,1D mcast,0,,L1_IL,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15140.0,
2484224,32,1024,4096,1024,64,24186.0,1D mcast,0,,L1_IL,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15140.0,
1850368,32,3072,1024,3072,32,24036.0,1D mcast,0,,L1_IL,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,11355.0,
2274304,32,1024,4096,1024,64,23948.0,1D mcast,0,,L1_IL,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15140.0,
1808384,32,3072,1024,3072,32,23839.0,1D mcast,0,,L1_IL,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,11355.0,
1938432,32,1024,4096,1024,64,23828.0,1D mcast,0,,L1_IL,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15140.0,
2568192,32,1024,4096,1024,60,23745.0,1D mcast,0,,L1_IL,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15140.0,
1602560,32,1024,4096,1024,64,23675.0,1D mcast,0,,L1_IL,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15140.0,
2232320,32,1024,4096,1024,64,23611.0,1D mcast,0,,L1_IL,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15140.0,
1980416,32,1024,4096,1024,64,23607.0,1D mcast,0,,L1_IL,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15140.0,
2354176,32,3072,1024,3072,32,23590.0,1D mcast,0,,L1_IL,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,11355.0,
1854464,32,1024,4096,1024,64,23573.0,1D mcast,0,,L1_IL,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15140.0,
2148352,32,1024,4096,1024,64,23542.0,1D mcast,0,,L1_IL,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15140.0,
2190336,32,1024,4096,1024,64,23526.0,1D mcast,0,,L1_IL,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15140.0,
2480128,32,3072,1024,3072,32,23491.0,1D mcast,0,,L1_IL,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,11355.0,
1598464,32,3072,1024,3072,32,23484.0,1D mcast,0,,L1_IL,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,11355.0,
2228224,32,3072,1024,3072,32,23466.0,1D mcast,0,,L1_IL,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,11355.0,
2018304,32,3072,1024,3072,32,23389.0,1D mcast,0,,L1_IL,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,11355.0,
1682432,32,3072,1024,3072,32,23372.0,1D mcast,0,,L1_IL,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,11355.0,
1640448,32,3072,1024,3072,32,23371.0,1D mcast,0,,L1_IL,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,11355.0,
2064384,32,1024,4096,1024,64,23365.0,1D mcast,0,,L1_IL,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15140.0,
1766400,32,3072,1024,3072,32,23358.0,1D mcast,0,,L1_IL,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,11355.0,
2522112,32,3072,1024,3072,31,23328.0,1D mcast,0,,L1_IL,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,11355.0,
