call,M,K,N,K_w,cores,ns,cfg,gather_in0,act,in0_mem,in1_mem,in1_dtype,out_mem,bias,fidelity,pm_ideal_ns,fpu_util
1263616,32,2048,128256,2048,64,1493410.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,948174.0,
1228800,32,8192,2048,8192,64,88111.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,60562.0,
860160,32,8192,2048,8192,64,87950.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,60562.0,
1044480,32,8192,2048,8192,64,87949.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,60562.0,
1013760,32,8192,2048,8192,64,87908.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,60562.0,
890880,32,8192,2048,8192,64,87878.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,60562.0,
1167360,32,8192,2048,8192,64,87716.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,60562.0,
1136640,32,8192,2048,8192,64,87700.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,60562.0,
1075200,32,8192,2048,8192,64,87675.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,60562.0,
829440,32,8192,2048,8192,64,87669.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,60562.0,
1105920,32,8192,2048,8192,64,87652.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,60562.0,
983040,32,8192,2048,8192,64,87605.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,60562.0,
798720,32,8192,2048,8192,64,87516.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,60562.0,
952320,32,8192,2048,8192,64,87509.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,60562.0,
1198080,32,8192,2048,8192,64,87380.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,60562.0,
921600,32,8192,2048,8192,64,87323.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,60562.0,
1259520,32,8192,2048,8192,64,87029.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,60562.0,
1132544,32,2048,8192,2048,64,83477.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,60562.0,
918528,32,2048,8192,2048,64,83361.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,60562.0,
886784,32,2048,8192,2048,64,83265.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,60562.0,
1163264,32,2048,8192,2048,64,83249.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,60562.0,
948224,32,2048,8192,2048,64,83080.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,60562.0,
1101824,32,2048,8192,2048,64,83065.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,60562.0,
825344,32,2048,8192,2048,64,83064.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,60562.0,
1071104,32,2048,8192,2048,64,83057.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,60562.0,
917504,32,2048,8192,2048,64,83044.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,60562.0,
856064,32,2048,8192,2048,64,82979.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,60562.0,
794624,32,2048,8192,2048,64,82947.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,60562.0,
1255424,32,2048,8192,2048,64,82943.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,60562.0,
978944,32,2048,8192,2048,64,82892.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,60562.0,
1009664,32,2048,8192,2048,64,82857.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,60562.0,
1224704,32,2048,8192,2048,64,82833.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,60562.0,
1040384,32,2048,8192,2048,64,82672.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,60562.0,
1225728,32,2048,8192,2048,64,82400.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,60562.0,
1193984,32,2048,8192,2048,64,82314.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,60562.0,
979968,32,2048,8192,2048,64,82307.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,60562.0,
1041408,32,2048,8192,2048,64,82297.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,60562.0,
1072128,32,2048,8192,2048,64,82198.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,60562.0,
826368,32,2048,8192,2048,64,82116.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,60562.0,
949248,32,2048,8192,2048,64,82075.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,60562.0,
857088,32,2048,8192,2048,64,82072.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,60562.0,
1256448,32,2048,8192,2048,64,81961.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,60562.0,
1133568,32,2048,8192,2048,64,81952.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,60562.0,
1102848,32,2048,8192,2048,64,81876.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,60562.0,
887808,32,2048,8192,2048,64,81771.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,60562.0,
795648,32,2048,8192,2048,64,81709.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,60562.0,
1164288,32,2048,8192,2048,64,81664.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,60562.0,
1010688,32,2048,8192,2048,64,81621.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,60562.0,
1195008,32,2048,8192,2048,64,81552.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,60562.0,
802816,32,2048,3072,2048,64,33166.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,22710.0,
1202176,32,2048,3072,2048,64,33117.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,22710.0,
956416,32,2048,3072,2048,64,32992.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,22710.0,
1079296,32,2048,3072,2048,64,32922.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,22710.0,
833536,32,2048,3072,2048,64,32732.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,22710.0,
1110016,32,2048,3072,2048,64,32658.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,22710.0,
1232896,32,2048,3072,2048,64,32561.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,22710.0,
864256,32,2048,3072,2048,64,32554.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,22710.0,
894976,32,2048,3072,2048,64,32449.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,22710.0,
1017856,32,2048,3072,2048,64,32410.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,22710.0,
738304,32,2048,3072,2048,64,32331.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,22710.0,
1140736,32,2048,3072,2048,64,32327.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,22710.0,
1048576,32,2048,3072,2048,64,32320.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,22710.0,
1171456,32,2048,3072,2048,64,32251.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,22710.0,
987136,32,2048,3072,2048,64,32087.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,22710.0,
