call,M,K,N,K_w,cores,ns,cfg,gather_in0,act,in0_mem,in1_mem,in1_dtype,out_mem,bias,fidelity,pm_ideal_ns,fpu_util
2392064,32,4096,128256,4096,63,2989010.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,1896348.0,
2204672,32,14336,4096,14336,64,304568.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,211967.0,
1836032,32,14336,4096,14336,64,304219.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,211967.0,
1743872,32,14336,4096,14336,64,303902.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,211967.0,
1713152,32,14336,4096,14336,64,303133.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,211967.0,
1866752,32,14336,4096,14336,64,302987.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,211967.0,
1897472,32,14336,4096,14336,64,302777.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,211967.0,
1682432,32,14336,4096,14336,64,302643.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,211967.0,
1620992,32,14336,4096,14336,64,302419.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,211967.0,
1651712,32,14336,4096,14336,64,302239.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,211967.0,
1528832,32,14336,4096,14336,64,302231.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,211967.0,
1467392,32,14336,4096,14336,64,302184.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,211967.0,
2358272,32,14336,4096,14336,64,302086.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,211967.0,
1436672,32,14336,4096,14336,64,302068.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,211967.0,
1958912,32,14336,4096,14336,64,301893.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,211967.0,
2112512,32,14336,4096,14336,64,301785.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,211967.0,
