call,M,K,N,K_w,cores,ns,cfg,gather_in0,act,in0_mem,in1_mem,in1_dtype,out_mem,bias,fidelity,pm_ideal_ns,fpu_util
2592768,32,1024,151936,1024,60,903212.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,561618.0,
2138112,32,1024,4096,1024,64,25830.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,15140.0,
2554880,32,1024,4096,1024,60,25277.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,15140.0,
2251776,32,1024,4096,1024,64,25262.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,15140.0,
2024448,32,1024,4096,1024,64,25244.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,15140.0,
2479104,32,1024,4096,1024,64,25182.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,15140.0,
1797120,32,1024,4096,1024,64,25089.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,15140.0,
1569792,32,1024,4096,1024,64,25062.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,15140.0,
1645568,32,1024,4096,1024,64,24967.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,15140.0,
1498112,32,1024,4096,1024,64,24954.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,15140.0,
2327552,32,1024,4096,1024,64,24937.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,15140.0,
1835008,32,1024,4096,1024,64,24916.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,15140.0,
1683456,32,1024,4096,1024,64,24884.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,15140.0,
1948672,32,1024,4096,1024,64,24880.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,15140.0,
2062336,32,1024,4096,1024,64,24857.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,15140.0,
2516992,32,1024,4096,1024,63,24827.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,15140.0,
1759232,32,1024,4096,1024,64,24802.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,15140.0,
1872896,32,1024,4096,1024,64,24787.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,15140.0,
2403328,32,1024,4096,1024,64,24775.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,15140.0,
2365440,32,1024,4096,1024,64,24757.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,15140.0,
2441216,32,1024,4096,1024,64,24742.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,15140.0,
2289664,32,1024,4096,1024,64,24734.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,15140.0,
1607680,32,1024,4096,1024,64,24733.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,15140.0,
2213888,32,1024,4096,1024,64,24727.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,15140.0,
2176000,32,1024,4096,1024,64,24721.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,15140.0,
1910784,32,1024,4096,1024,64,24694.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,15140.0,
2100224,32,1024,4096,1024,64,24675.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,15140.0,
1721344,32,1024,4096,1024,64,24663.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,15140.0,
1986560,32,1024,4096,1024,64,24525.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,15140.0,
2550784,32,3072,1024,3072,60,20605.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,11355.0,
1679360,32,3072,1024,3072,64,20053.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,11355.0,
1565696,32,3072,1024,3072,64,20030.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,11355.0,
2319360,32,1024,3072,1024,64,20003.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,11355.0,
2584576,32,1024,3072,1024,60,19977.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,11355.0,
2243584,32,1024,3072,1024,64,19975.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,11355.0,
1940480,32,1024,3072,1024,64,19969.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,11355.0,
1864704,32,1024,3072,1024,64,19920.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,11355.0,
1902592,32,1024,3072,1024,64,19901.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,11355.0,
2508800,32,1024,3072,1024,64,19888.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,11355.0,
2129920,32,1024,3072,1024,64,19880.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,11355.0,
2016256,32,1024,3072,1024,64,19865.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,11355.0,
2361344,32,3072,1024,3072,64,19860.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,11355.0,
2209792,32,3072,1024,3072,64,19850.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,11355.0,
1561600,32,1024,3072,1024,64,19835.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,11355.0,
1793024,32,3072,1024,3072,64,19831.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,11355.0,
2470912,32,1024,3072,1024,64,19819.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,11355.0,
2512896,32,3072,1024,3072,63,19815.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,11355.0,
1830912,32,3072,1024,3072,64,19811.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,11355.0,
1788928,32,1024,3072,1024,64,19806.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,11355.0,
2395136,32,1024,3072,1024,64,19805.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,11355.0,
1603584,32,3072,1024,3072,64,19796.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,11355.0,
1755136,32,3072,1024,3072,64,19782.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,11355.0,
2357248,32,1024,3072,1024,64,19778.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,11355.0,
